Age,Gender,Region,SubscriptionLength,UsageFrequency,Complaints,PromotionsUsed,AverageSpending,PaymentMethod,DeviceType,CustomerChurned
36,Female,Asia,7,10,2,3,35.51728790823962,Credit Card,Tablet,0
23,Female,North America,8,7,1,2,65.8335009623803,Direct Debit,Mobile,0
38,Male,North America,13,10,4,4,19.079471693142285,Direct Debit,Tablet,1
28,Male,Asia,6,8,5,1,22.670046940867785,PayPal,Mobile,0
32,Male,Europe,6,10,7,4,30.239902457957342,Credit Card,Mobile,1
28,Male,North America,23,10,1,3,76.33541167682638,Credit Card,Mobile,0
53,Female,South America,23,10,1,2,59.56979223519232,Direct Debit,Desktop,0
34,Male,North America,24,10,2,2,53.95647505128493,Direct Debit,Desktop,0
24,Male,North America,24,10,1,2,68.78557987309767,PayPal,Tablet,0
43,Male,North America,3,7,1,1,28.65561666910782,PayPal,Desktop,0
22,Male,North America,16,10,3,1,61.1910935475842,PayPal,Tablet,0
37,Male,Asia,11,10,0,3,75.28768003574109,Credit Card,Mobile,0
18,Male,South America,5,7,3,4,30.67319888977811,Direct Debit,Desktop,1
21,Male,Asia,5,10,1,4,37.10581944813367,Credit Card,Desktop,0
36,Male,North America,24,10,0,4,55.72352965661348,Credit Card,Desktop,0
42,Male,Asia,1,8,1,3,36.14682078153456,Credit Card,Tablet,0
36,Female,Asia,15,8,1,2,41.73624538210922,PayPal,Desktop,0
33,Male,Europe,11,8,0,1,23.46042682113461,Direct Debit,Desktop,0
31,Male,Europe,5,10,3,3,78.89427934662586,PayPal,Desktop,0
20,Male,Europe,24,10,1,0,95.50749306752192,Direct Debit,Mobile,0
27,Female,Asia,10,10,3,3,59.07510508015716,Direct Debit,Desktop,1
30,Male,Asia,20,10,0,1,77.94965461683654,PayPal,Tablet,0
45,Female,Asia,8,8,2,4,44.65537324895749,PayPal,Mobile,1
38,Male,South America,24,10,2,0,45.248150103446314,Credit Card,Desktop,0
18,Male,Asia,13,9,0,1,36.742669863362366,Credit Card,Tablet,0
38,Male,Asia,16,10,1,0,34.53032251071812,Credit Card,Tablet,0
31,Male,Asia,15,9,2,4,55.83586951849655,Direct Debit,Mobile,0
28,Female,South America,23,10,2,1,78.95983265347675,Credit Card,Tablet,0
41,Male,South America,1,9,1,4,74.04955317886686,PayPal,Tablet,0
45,Female,Asia,5,10,3,3,31.8641357579403,Credit Card,Desktop,1
44,Female,Asia,5,8,1,3,22.926975584388913,PayPal,Mobile,0
26,Male,Europe,6,6,2,2,10.0,Direct Debit,Mobile,1
31,Female,North America,24,10,2,0,63.540886816301644,PayPal,Tablet,0
38,Female,South America,3,5,3,3,31.816159688480106,Direct Debit,Tablet,1
44,Male,South America,18,9,2,5,74.38727951961718,Direct Debit,Desktop,0
30,Male,Europe,12,10,3,2,16.386114089684817,Credit Card,Desktop,1
33,Male,North America,24,10,0,5,31.05727042240951,Direct Debit,Mobile,0
23,Male,Asia,20,10,2,2,55.93578705514342,Direct Debit,Tablet,0
23,Male,Asia,22,10,3,0,45.82606847446485,Direct Debit,Mobile,0
43,Female,Asia,8,10,0,3,61.03780332152692,Credit Card,Tablet,0
48,Female,North America,5,9,6,2,61.168326402546995,PayPal,Tablet,1
34,Male,Asia,12,10,2,4,21.915662203015295,Credit Card,Desktop,0
45,Male,Europe,8,8,2,4,66.630972805052,Direct Debit,Desktop,0
38,Male,South America,1,8,3,1,71.83342573554208,Direct Debit,Mobile,1
28,Male,South America,6,6,1,1,57.38796347928282,Direct Debit,Desktop,0
38,Male,North America,4,9,1,1,45.50374547770683,Direct Debit,Tablet,0
50,Male,North America,6,5,5,2,55.563718872713956,Credit Card,Mobile,1
34,Male,Europe,5,7,1,5,68.38916216051217,Credit Card,Tablet,0
50,Male,Europe,7,7,3,4,47.063006784307575,PayPal,Tablet,1
18,Male,South America,15,10,3,5,71.7008964184583,Credit Card,Mobile,1
43,Male,Europe,24,9,0,0,75.71903863181949,PayPal,Tablet,0
35,Male,Europe,1,10,4,2,53.59274505807777,PayPal,Mobile,0
32,Male,North America,24,10,1,2,67.38633859719141,PayPal,Desktop,0
35,Male,Europe,15,6,1,4,27.482130815345883,Direct Debit,Tablet,1
18,Female,Europe,21,10,0,3,82.99604872028844,Direct Debit,Desktop,0
32,Female,South America,24,10,4,1,36.98134939916498,Credit Card,Tablet,0
38,Male,North America,24,10,0,2,10.0,Direct Debit,Mobile,0
49,Male,South America,12,10,0,3,17.765443334740084,Direct Debit,Tablet,0
29,Male,Europe,24,10,3,4,40.907508074207996,Credit Card,Tablet,1
26,Male,Europe,6,10,1,3,67.47794300224507,PayPal,Tablet,0
29,Male,Europe,8,10,2,1,44.73830681394243,PayPal,Desktop,0
44,Male,Europe,5,8,1,2,63.43482523450377,PayPal,Desktop,1
38,Male,North America,1,5,1,2,50.38340556336541,Direct Debit,Desktop,0
29,Female,South America,7,7,4,3,57.07797977345655,Direct Debit,Mobile,1
40,Female,Asia,24,10,2,2,60.67887570617336,PayPal,Mobile,0
35,Female,South America,16,10,1,3,60.09490570635141,PayPal,Tablet,0
44,Female,Asia,15,10,3,1,75.7727691786875,Credit Card,Mobile,1
27,Male,South America,14,10,1,5,49.79136279717674,Direct Debit,Tablet,0
31,Female,South America,8,8,3,3,27.058849411621303,Credit Card,Tablet,0
31,Male,Asia,6,10,3,2,10.0,Credit Card,Desktop,1
20,Female,Asia,13,10,1,3,38.56129899235347,Direct Debit,Desktop,0
37,Female,Asia,12,8,5,3,41.15621501379735,PayPal,Desktop,1
37,Male,North America,9,8,4,3,29.575541694025496,PayPal,Tablet,0
35,Female,South America,7,4,3,2,46.10027428066347,Direct Debit,Tablet,0
32,Male,North America,5,10,5,1,52.665172338411786,Direct Debit,Mobile,1
20,Male,North America,15,10,1,0,43.40959040291285,Direct Debit,Desktop,0
30,Female,Europe,13,10,5,0,70.57087546000812,Direct Debit,Desktop,0
31,Male,Europe,8,8,4,1,67.95930839169223,PayPal,Tablet,1
26,Female,Asia,24,10,0,4,55.398292855014745,Credit Card,Tablet,0
33,Male,North America,19,10,4,5,104.201588995827,PayPal,Mobile,1
39,Male,Asia,24,8,4,1,55.39480198427314,Credit Card,Tablet,1
53,Female,Europe,8,7,5,4,60.285018373770114,Credit Card,Desktop,1
36,Female,North America,1,6,5,3,35.13623868147173,Credit Card,Desktop,1
37,Male,Europe,24,10,4,4,34.98081130246744,Direct Debit,Desktop,0
34,Male,Europe,12,6,2,3,59.11734273991317,PayPal,Tablet,0
18,Male,Europe,24,10,2,0,39.18975023364842,PayPal,Tablet,0
34,Female,Asia,13,7,2,2,44.086186830653034,Direct Debit,Desktop,0
35,Male,North America,6,10,1,3,35.97344997704886,PayPal,Mobile,0
59,Female,Europe,1,4,3,1,59.30218970023967,Direct Debit,Tablet,1
33,Female,Europe,6,7,0,3,37.350442360640976,Credit Card,Mobile,0
38,Male,Asia,1,5,2,2,49.6228863638018,PayPal,Tablet,0
34,Male,North America,17,10,1,1,23.696224477084954,Credit Card,Tablet,0
23,Male,Europe,14,10,3,1,30.08552978976541,PayPal,Mobile,1
46,Male,Asia,24,10,5,4,35.734068956994065,Credit Card,Tablet,1
42,Female,Asia,6,8,3,5,72.09200450949518,PayPal,Desktop,1
42,Female,North America,2,9,4,5,67.80457171714863,Direct Debit,Desktop,1
25,Female,Europe,8,10,2,4,58.85955764119316,Direct Debit,Tablet,0
49,Female,South America,19,9,4,0,14.328917481631656,Direct Debit,Mobile,1
20,Male,Europe,24,10,2,5,47.21010035994819,PayPal,Tablet,0
40,Male,South America,1,8,2,2,18.142207469041303,Direct Debit,Tablet,0
56,Male,Europe,24,10,2,3,52.426639571500246,PayPal,Desktop,0
25,Female,Asia,10,8,2,5,22.527563910780618,PayPal,Mobile,0
29,Female,South America,10,4,3,5,72.44383211210511,Direct Debit,Tablet,1
35,Female,North America,4,6,1,5,63.5165260390831,PayPal,Tablet,1
29,Male,Europe,22,10,4,5,19.99685472151112,Direct Debit,Tablet,0
19,Female,North America,24,10,0,5,51.87307135095906,Credit Card,Mobile,0
35,Male,Europe,14,10,3,0,58.4011867495923,PayPal,Mobile,1
24,Female,South America,6,10,3,0,37.40271299626873,Direct Debit,Tablet,1
39,Male,Europe,17,8,0,5,10.0,Direct Debit,Tablet,0
25,Male,North America,23,10,2,3,48.5855947392935,PayPal,Mobile,0
50,Male,Europe,12,9,6,4,41.06317016145746,PayPal,Tablet,1
27,Female,South America,7,10,0,0,45.385823812798776,PayPal,Tablet,0
31,Female,North America,13,9,3,0,19.584405027665643,Credit Card,Desktop,0
43,Male,Asia,1,4,3,0,31.875491009224138,Direct Debit,Mobile,1
22,Female,Europe,8,10,1,2,43.961861884944355,PayPal,Tablet,0
37,Female,Europe,13,10,5,5,14.328207870588628,PayPal,Tablet,1
48,Female,Asia,5,5,2,4,31.392835764295,Credit Card,Desktop,1
18,Female,Europe,7,10,1,5,36.03337031314793,Credit Card,Tablet,0
36,Male,Asia,1,8,0,1,42.93999972160209,Credit Card,Tablet,0
37,Female,Europe,17,10,2,5,70.62923606334681,Credit Card,Desktop,0
42,Male,North America,3,5,3,0,21.691968412929675,Credit Card,Desktop,1
22,Male,Asia,24,10,1,0,73.75306253905543,Direct Debit,Tablet,0
21,Female,North America,21,10,1,4,53.29768535500898,Direct Debit,Desktop,0
40,Male,Europe,5,10,1,0,28.76257816193067,PayPal,Tablet,0
37,Female,Asia,5,10,4,4,55.85227895361563,PayPal,Desktop,1
37,Male,Europe,1,9,2,3,63.42708204101243,PayPal,Desktop,1
38,Male,Europe,15,9,4,2,34.24657265917948,PayPal,Mobile,1
28,Female,North America,13,9,1,4,46.713054270895384,Direct Debit,Desktop,0
37,Female,South America,20,10,1,1,48.59458324094334,Credit Card,Desktop,0
37,Female,South America,3,3,2,5,74.87220988078064,Direct Debit,Desktop,1
27,Male,Europe,9,10,0,0,40.1709340719046,PayPal,Desktop,0
53,Female,North America,7,9,3,1,95.20313431829507,PayPal,Tablet,1
39,Male,Europe,14,10,5,2,51.3595478432176,Direct Debit,Mobile,0
23,Male,Asia,24,10,2,1,73.81687532419186,Credit Card,Desktop,0
41,Male,Asia,24,10,8,3,50.453785408745304,Direct Debit,Mobile,0
25,Female,Europe,5,10,1,2,54.44068643480512,Direct Debit,Mobile,0
42,Male,South America,22,10,1,3,64.99156610901477,PayPal,Mobile,0
46,Male,Asia,1,8,0,1,51.962551586937124,Credit Card,Mobile,0
26,Female,Asia,24,8,2,5,48.79544270958234,PayPal,Tablet,0
44,Female,Asia,1,6,2,5,66.88575091270312,Direct Debit,Tablet,1
39,Male,Asia,4,7,1,3,36.214017899230484,PayPal,Tablet,1
43,Female,North America,24,10,3,4,49.0859350147724,Direct Debit,Tablet,0
53,Male,North America,3,7,3,4,40.78376236131851,Direct Debit,Tablet,1
32,Male,South America,24,10,3,4,47.14080026987786,Credit Card,Tablet,0
27,Male,South America,24,10,1,2,42.86395186894476,PayPal,Tablet,0
26,Male,Asia,8,10,3,0,49.89507874022766,Direct Debit,Mobile,1
26,Male,South America,13,9,6,3,11.591317219223825,PayPal,Tablet,1
34,Male,Asia,5,7,2,5,53.24023647048563,Credit Card,Tablet,0
38,Male,Asia,1,10,1,0,20.743324711137294,Credit Card,Tablet,0
37,Female,Asia,5,8,1,1,51.256546907031684,Direct Debit,Desktop,0
43,Female,Europe,24,10,3,3,53.13474561857078,Direct Debit,Mobile,0
35,Male,North America,13,10,2,0,55.134489069578564,PayPal,Tablet,0
49,Male,North America,11,8,1,5,37.79478366540938,Direct Debit,Desktop,1
32,Male,Europe,24,10,4,3,69.91858571434369,PayPal,Tablet,1
62,Female,North America,18,8,0,4,46.799575425978524,Credit Card,Desktop,0
41,Female,Asia,24,8,1,2,58.40322809480925,Direct Debit,Tablet,0
26,Female,Asia,12,9,1,3,15.07081296892266,PayPal,Mobile,0
24,Male,Europe,7,8,1,3,11.440864255571277,PayPal,Desktop,0
39,Male,North America,6,8,2,0,32.669725882808095,PayPal,Tablet,0
32,Male,North America,11,9,4,1,96.18655262722915,Direct Debit,Desktop,0
42,Male,Europe,17,10,1,1,66.6914029296016,Credit Card,Mobile,0
39,Female,Asia,3,7,2,1,58.00212060335627,Credit Card,Mobile,1
34,Female,North America,14,10,1,3,45.16600986566464,PayPal,Mobile,0
26,Female,South America,11,7,3,3,48.43765011542705,PayPal,Tablet,1
19,Female,Asia,12,10,3,2,40.89442963553885,PayPal,Mobile,1
30,Male,Asia,6,10,4,4,29.483155013458354,PayPal,Desktop,1
43,Female,Europe,9,10,1,5,54.283334408707596,Credit Card,Mobile,0
37,Female,Europe,12,10,0,4,65.1684581176302,Direct Debit,Mobile,1
22,Male,Asia,5,9,3,3,49.8503958322264,Direct Debit,Mobile,1
36,Female,Asia,1,4,3,3,60.04291033968884,Direct Debit,Mobile,1
38,Female,South America,1,10,3,4,71.82635832888938,PayPal,Mobile,0
26,Male,North America,7,7,2,4,59.41896122669067,PayPal,Desktop,0
36,Male,Asia,1,6,0,0,68.41739870753594,Credit Card,Mobile,0
35,Male,South America,6,10,4,2,62.13600798617356,Credit Card,Desktop,0
23,Male,Asia,8,10,2,0,44.621426960224305,PayPal,Tablet,0
38,Male,South America,16,10,3,0,37.82255158324871,Direct Debit,Mobile,1
40,Female,Asia,24,10,4,1,60.964913378704296,PayPal,Mobile,0
45,Female,North America,9,8,0,4,58.86078526340148,Credit Card,Mobile,0
45,Male,Asia,5,9,3,0,30.740595579471915,Credit Card,Desktop,0
21,Male,Asia,14,10,4,4,55.04687237703535,PayPal,Tablet,0
25,Female,Europe,6,7,1,5,51.00096668593793,Direct Debit,Tablet,0
40,Male,North America,19,7,4,0,65.2807122518513,Credit Card,Mobile,1
40,Male,Asia,9,10,0,5,57.469097739537396,Direct Debit,Tablet,0
40,Female,Asia,1,9,4,1,39.303535678854864,Credit Card,Tablet,1
73,Male,South America,8,5,0,3,79.58774624096989,Credit Card,Tablet,0
40,Female,North America,11,10,2,4,42.60208294109485,PayPal,Desktop,0
46,Male,South America,1,9,3,3,57.3380191932837,PayPal,Mobile,1
44,Female,North America,5,3,8,1,16.67076122995112,Credit Card,Mobile,1
41,Female,South America,3,4,2,5,74.65521793128909,PayPal,Mobile,0
31,Female,Europe,12,10,4,2,53.73354142248205,Direct Debit,Tablet,0
42,Female,Asia,7,7,2,1,38.654061129668115,PayPal,Mobile,0
27,Male,Europe,24,10,1,2,49.82593174180354,Credit Card,Mobile,0
32,Male,South America,24,10,4,2,30.427703099148246,PayPal,Mobile,1
30,Male,Europe,8,9,0,4,41.85463608608729,Direct Debit,Tablet,0
35,Female,South America,16,10,2,5,48.77911085036116,Direct Debit,Mobile,0
58,Female,Asia,1,6,2,2,47.591460178305944,Credit Card,Mobile,1
18,Female,Europe,10,10,2,2,22.357544535285,PayPal,Mobile,0
41,Male,Europe,5,7,5,0,46.87151093214622,PayPal,Mobile,1
18,Male,South America,24,10,1,2,75.35489022763197,PayPal,Desktop,0
30,Male,North America,5,6,6,1,35.64085345979454,Direct Debit,Desktop,1
45,Female,North America,8,10,1,5,64.27649578904628,Direct Debit,Desktop,0
35,Male,South America,6,7,4,1,26.125285960423565,Direct Debit,Mobile,0
24,Male,South America,15,10,2,0,91.86659864276578,PayPal,Tablet,0
27,Female,Asia,24,10,5,4,54.22332494115129,Direct Debit,Desktop,1
41,Male,Asia,1,10,2,2,23.13880872500428,Direct Debit,Mobile,0
27,Male,Asia,24,10,3,2,63.486818654017014,PayPal,Mobile,0
37,Male,South America,12,10,3,1,38.414055198868766,Credit Card,Desktop,1
35,Female,Europe,17,10,2,5,16.674784036704978,Direct Debit,Desktop,0
28,Female,Europe,11,8,4,3,78.55552733946112,PayPal,Mobile,1
56,Male,Europe,24,10,0,2,41.36258034676529,Direct Debit,Tablet,0
41,Male,North America,4,10,1,1,80.15282926774447,PayPal,Tablet,0
18,Female,North America,22,10,3,1,43.58090564366053,Credit Card,Tablet,1
36,Female,North America,20,10,4,0,57.732765270746086,Credit Card,Desktop,1
28,Male,South America,18,10,4,2,67.65797694191126,Credit Card,Mobile,1
43,Female,Asia,17,10,0,4,69.98980990718361,PayPal,Desktop,0
27,Female,Europe,6,10,5,3,32.42855240973955,PayPal,Tablet,0
33,Female,Europe,6,7,1,0,48.10204011405078,PayPal,Tablet,0
40,Female,South America,9,10,2,5,22.00981825317001,Direct Debit,Tablet,0
43,Male,Asia,4,8,3,3,64.69298896974105,Credit Card,Desktop,1
22,Female,Europe,24,10,2,1,74.4576039929321,Direct Debit,Mobile,0
31,Male,Europe,8,9,1,5,25.15245527255567,Direct Debit,Mobile,0
30,Female,South America,18,9,2,1,44.6769775355951,Credit Card,Mobile,0
28,Female,Asia,8,10,1,4,49.56975215433154,Direct Debit,Tablet,0
52,Female,Europe,2,7,0,3,59.83309966652154,PayPal,Tablet,0
39,Male,North America,2,10,3,1,57.46868381896436,PayPal,Tablet,0
22,Female,Europe,9,10,1,0,67.16140320327298,PayPal,Mobile,0
44,Female,Europe,20,9,1,1,75.4933206525863,Credit Card,Desktop,0
56,Male,North America,24,10,0,0,58.6148251506553,Credit Card,Desktop,0
45,Male,South America,8,9,1,3,79.24097836949754,Credit Card,Mobile,0
19,Male,North America,6,10,2,2,65.20636034729293,Credit Card,Mobile,0
30,Female,South America,24,10,6,2,36.248978433860295,PayPal,Tablet,0
47,Male,Asia,1,9,1,5,88.79033089440176,Credit Card,Desktop,1
27,Male,North America,8,8,1,1,46.97735104723193,Direct Debit,Desktop,0
39,Male,Europe,24,10,2,1,55.119759694435885,PayPal,Mobile,0
42,Female,North America,2,7,0,2,63.74249576827057,PayPal,Mobile,0
25,Male,South America,15,10,1,1,13.893378404064968,Credit Card,Tablet,0
34,Male,Europe,24,10,4,1,26.77937846282811,Direct Debit,Desktop,0
18,Female,Europe,19,10,1,2,32.17104355811337,Direct Debit,Mobile,0
24,Female,Asia,22,10,1,1,78.76558233325741,PayPal,Desktop,0
32,Male,South America,8,10,1,0,31.581839657647787,PayPal,Tablet,0
22,Male,Asia,24,10,1,5,51.34462400375948,PayPal,Tablet,0
51,Female,Europe,4,9,1,5,63.358588887263814,Direct Debit,Desktop,0
20,Female,South America,13,8,0,5,41.605053857494816,Direct Debit,Mobile,0
30,Male,North America,12,10,0,5,44.243393199126196,PayPal,Desktop,0
36,Female,Europe,8,9,1,2,10.0,PayPal,Desktop,0
49,Male,South America,20,10,0,5,19.07183798737167,PayPal,Tablet,0
20,Female,Europe,11,10,0,4,54.40570978411291,Direct Debit,Desktop,0
46,Female,Asia,21,10,1,0,60.71110274633361,Direct Debit,Tablet,0
35,Female,South America,24,10,1,5,76.81759174409792,Credit Card,Mobile,0
25,Male,Asia,24,10,1,3,58.84129669739936,Credit Card,Tablet,0
39,Female,Asia,24,10,4,2,85.66263358289814,PayPal,Tablet,0
36,Female,South America,2,8,0,3,34.74427435593493,PayPal,Desktop,1
28,Female,South America,22,10,2,1,63.357861691830166,PayPal,Desktop,0
35,Male,South America,7,8,3,2,31.04389256062854,PayPal,Mobile,0
31,Male,Asia,24,10,4,2,44.002468325358535,Credit Card,Tablet,1
36,Female,South America,5,5,2,5,62.11089918524693,PayPal,Desktop,0
41,Female,South America,11,10,2,1,65.92584896599134,Direct Debit,Tablet,1
50,Male,Asia,1,8,1,5,52.51600767246366,PayPal,Tablet,0
22,Male,Europe,13,10,1,0,64.7925987214224,Direct Debit,Mobile,0
56,Male,Asia,3,6,1,3,40.44231358718593,Credit Card,Tablet,0
18,Male,South America,12,7,1,3,86.92755271145585,Direct Debit,Desktop,0
33,Male,Europe,23,10,0,0,37.04225165818629,Direct Debit,Mobile,0
40,Male,Europe,4,8,1,3,59.74771098845172,Direct Debit,Desktop,1
37,Female,North America,19,10,2,4,11.417445484640119,Direct Debit,Tablet,0
28,Male,Europe,24,10,1,0,10.0,Credit Card,Desktop,0
32,Female,South America,24,9,3,2,94.97018236739257,Credit Card,Desktop,0
30,Female,Europe,6,10,2,1,58.99687905038208,Credit Card,Tablet,0
29,Male,Europe,5,10,2,2,33.91577775075529,Direct Debit,Mobile,0
43,Female,North America,12,9,2,4,20.97303329022604,Credit Card,Desktop,0
38,Female,Europe,1,10,3,0,59.344766330472936,Direct Debit,Mobile,1
28,Male,North America,11,10,3,3,57.74262044584723,Credit Card,Mobile,0
43,Male,Asia,24,10,2,4,53.99617248659359,Direct Debit,Desktop,0
38,Male,South America,3,10,2,3,50.35962984542592,Direct Debit,Mobile,0
43,Female,Asia,3,6,2,5,67.23603480517603,Credit Card,Desktop,0
41,Female,Asia,10,9,1,1,38.370347532672824,Credit Card,Tablet,0
26,Male,Asia,24,9,1,4,86.0480663123431,Credit Card,Desktop,0
29,Male,South America,6,9,1,2,70.62746899822676,Credit Card,Mobile,0
42,Female,South America,24,10,1,5,51.915395639640515,PayPal,Mobile,0
41,Male,Asia,12,9,1,1,59.10933907067353,PayPal,Tablet,0
34,Male,Europe,22,10,0,2,54.0342653218295,Credit Card,Tablet,0
36,Female,Asia,2,6,1,1,64.29334573736762,PayPal,Desktop,0
47,Female,North America,10,8,1,4,66.36797372136843,Credit Card,Desktop,0
29,Male,North America,7,10,3,5,26.239383572465247,PayPal,Mobile,0
40,Female,Europe,7,10,1,1,45.08717813864188,Direct Debit,Tablet,0
32,Male,Asia,11,9,1,4,61.83565761681016,PayPal,Mobile,0
32,Female,Asia,21,10,0,4,38.49578624953548,PayPal,Mobile,0
45,Female,Asia,5,10,1,3,71.72704971148337,Credit Card,Desktop,0
43,Female,Europe,1,6,0,4,22.94164950528803,Direct Debit,Mobile,0
43,Male,Asia,24,10,1,1,58.16349255826971,Direct Debit,Mobile,0
48,Male,Europe,1,8,3,4,46.8599509752715,Credit Card,Desktop,1
35,Female,Europe,5,6,1,0,37.99749294230799,Direct Debit,Desktop,0
41,Female,Europe,8,6,5,0,67.20220573019215,Credit Card,Mobile,1
31,Female,South America,24,10,0,1,47.89452625048691,PayPal,Desktop,0
38,Male,South America,1,8,1,3,10.0,Credit Card,Tablet,1
33,Female,North America,18,10,0,4,39.733912433734105,Direct Debit,Desktop,0
35,Female,North America,6,6,1,0,66.74156934627452,Direct Debit,Mobile,0
40,Female,South America,18,10,1,3,38.59097096756816,Credit Card,Tablet,0
26,Female,South America,24,10,0,0,54.86952887059072,Credit Card,Tablet,0
55,Female,Asia,2,6,1,2,56.52512726943186,PayPal,Mobile,1
24,Male,South America,16,9,5,0,77.56789798849745,PayPal,Desktop,0
22,Male,Asia,13,10,1,2,39.15900547130453,Direct Debit,Desktop,0
46,Female,Europe,10,9,2,1,74.94836167205742,Credit Card,Mobile,0
42,Male,Europe,23,10,2,0,62.50400897734892,Direct Debit,Tablet,0
41,Female,North America,4,4,5,3,42.05173446650624,Direct Debit,Desktop,1
41,Male,Asia,4,10,0,5,60.40426972799601,PayPal,Tablet,0
34,Male,Asia,20,10,3,1,11.140924267124028,PayPal,Mobile,0
26,Female,Asia,13,10,0,3,84.89352119211927,Credit Card,Desktop,0
35,Male,North America,11,9,1,4,23.68816137851024,Credit Card,Desktop,0
28,Male,South America,23,10,2,2,66.61423779224731,Credit Card,Mobile,0
44,Male,Europe,5,9,3,2,47.10159127353325,Credit Card,Desktop,1
33,Female,Europe,9,7,1,0,49.86533564893321,Direct Debit,Mobile,0
26,Male,Asia,11,10,2,4,55.36050201512123,PayPal,Mobile,0
31,Male,Europe,5,8,2,5,78.01756418923726,PayPal,Tablet,1
39,Female,South America,20,10,1,0,81.8315181576547,Direct Debit,Tablet,0
29,Male,Asia,10,5,0,0,50.70395331598198,Direct Debit,Tablet,1
26,Female,North America,11,9,4,3,71.23164485838142,Credit Card,Desktop,1
37,Male,South America,18,10,4,1,43.29163014395853,Credit Card,Tablet,1
37,Male,Asia,2,9,3,4,65.44674996345053,PayPal,Tablet,0
29,Female,South America,6,9,2,3,67.63548887370888,Credit Card,Tablet,0
30,Male,Asia,24,10,3,5,12.694253973994698,Direct Debit,Mobile,1
37,Male,Europe,24,8,1,1,55.84807301713746,Direct Debit,Desktop,0
20,Female,North America,23,10,1,2,45.670403263177285,PayPal,Desktop,0
20,Female,South America,6,8,0,3,46.04465705820611,Direct Debit,Tablet,0
27,Female,South America,24,10,0,5,51.23934078342402,Credit Card,Tablet,0
32,Male,Asia,24,10,2,3,53.352794222970694,Direct Debit,Tablet,0
38,Female,Asia,23,8,0,0,61.43354081587038,Direct Debit,Mobile,0
49,Male,South America,6,5,7,2,41.19672111188539,Direct Debit,Tablet,1
43,Female,Europe,1,3,1,5,23.971153197889112,Credit Card,Mobile,1
33,Female,South America,10,10,2,1,31.6774348045659,Credit Card,Mobile,0
34,Female,Europe,5,7,1,5,91.33930069619518,Credit Card,Tablet,0
24,Male,South America,13,10,2,5,40.81064870633008,Credit Card,Desktop,0
34,Male,Asia,5,9,0,3,24.505138395644593,Credit Card,Desktop,0
32,Female,Europe,14,9,3,5,36.926331940583346,Credit Card,Mobile,1
38,Female,North America,7,4,4,3,67.42282259109633,Direct Debit,Desktop,1
26,Male,North America,10,10,0,4,50.760326795586884,Direct Debit,Desktop,0
40,Female,Asia,4,7,5,4,50.43834376402272,Credit Card,Tablet,1
50,Male,South America,21,10,2,5,76.1444198729531,PayPal,Tablet,0
33,Male,South America,13,10,5,2,40.29075342459309,Direct Debit,Tablet,1
39,Female,North America,4,8,2,0,35.51585629816799,PayPal,Tablet,1
41,Female,Europe,13,8,1,5,74.41334097182863,PayPal,Tablet,0
30,Male,Europe,15,10,2,1,33.183122067227416,PayPal,Desktop,0
37,Male,South America,4,10,1,0,48.19347058601755,Direct Debit,Mobile,1
35,Male,Europe,24,10,2,4,33.522375577314705,Direct Debit,Mobile,0
35,Male,North America,18,10,0,3,55.59674186577022,PayPal,Tablet,0
