Age,Gender,Region,DeviceType,SubscriptionLength,UsageFrequency,Complaints,PromotionsUsed,PromotionsDriven,AverageSpending,PaymentMethod,DeviceType,CustomerChurned
48,Female,North America,Mobile,11,9,5,3,0,63.54890051280093,PayPal,Mobile,1
34,Male,Asia,Desktop,19,10,3,5,0,63.37712615372162,Direct Debit,Tablet,0
45,Male,Europe,Desktop,6,10,0,5,0,49.818830820602955,PayPal,Tablet,0
38,Male,South America,Mobile,14,8,0,3,0,77.32277039792477,PayPal,Mobile,0
28,Male,South America,Mobile,20,10,1,5,0,87.37201405723806,PayPal,Mobile,0
38,Male,North America,Mobile,7,10,2,4,0,38.51040622590152,Credit Card,Desktop,0
50,Male,North America,Mobile,1,5,1,1,1,62.06358545460847,PayPal,Desktop,0
34,Male,Europe,Mobile,7,10,2,5,0,66.47793148763975,Direct Debit,Desktop,0
50,Male,Europe,Desktop,4,6,1,1,0,78.2477412872072,Credit Card,Desktop,0
18,Male,South America,Desktop,5,10,6,5,0,65.7861725807505,PayPal,Desktop,1
43,Male,Europe,Tablet,1,5,2,3,1,54.40533801562421,PayPal,Desktop,1
35,Male,Europe,Mobile,24,10,2,2,0,56.16203052736439,Direct Debit,Tablet,0
32,Male,North America,Desktop,24,10,1,3,0,50.293967485771425,Credit Card,Tablet,0
35,Male,Europe,Desktop,4,4,2,4,0,44.88009241057918,Credit Card,Desktop,0
18,Female,Europe,Desktop,24,10,0,2,0,83.16133895715564,Credit Card,Tablet,0
32,Female,South America,Desktop,20,10,2,3,0,78.29323593839729,Direct Debit,Tablet,0
38,Male,North America,Tablet,4,8,3,3,0,55.10080756444326,Direct Debit,Desktop,1
49,Male,South America,Desktop,8,7,1,1,0,58.61030339482351,PayPal,Desktop,0
29,Male,Europe,Tablet,20,10,0,5,0,79.69154933900418,Direct Debit,Mobile,0
26,Male,Europe,Mobile,24,10,2,3,0,57.755852258793944,Credit Card,Tablet,0
29,Male,Europe,Mobile,5,5,5,5,0,62.665494299282145,PayPal,Tablet,1
44,Male,Europe,Mobile,8,9,4,5,0,32.01898562311783,Direct Debit,Mobile,0
38,Male,North America,Mobile,2,10,2,2,1,62.281256155716704,PayPal,Tablet,1
29,Female,South America,Mobile,10,7,4,1,0,77.81930524918207,PayPal,Desktop,0
40,Female,Asia,Tablet,2,7,2,2,1,50.98573641537377,Direct Debit,Mobile,1
35,Female,South America,Desktop,24,10,2,5,0,54.41181076456005,PayPal,Desktop,0
44,Female,Asia,Desktop,8,7,2,2,0,36.29235253579006,Credit Card,Tablet,0
27,Male,South America,Desktop,6,8,1,5,0,34.42933891068894,Credit Card,Desktop,0
31,Female,South America,Mobile,16,10,2,4,0,87.95689593654527,PayPal,Mobile,0
31,Male,Asia,Mobile,15,10,2,4,0,42.53604580824663,Direct Debit,Mobile,0
20,Female,Asia,Desktop,20,10,2,2,0,50.34651155095063,Credit Card,Mobile,0
37,Female,Asia,Desktop,8,10,2,3,0,108.03667583439608,Credit Card,Mobile,0
37,Male,North America,Mobile,17,10,2,3,0,80.4841834987904,Direct Debit,Desktop,0
35,Female,South America,Mobile,2,9,5,4,1,64.09604345379677,PayPal,Desktop,1
32,Male,North America,Mobile,16,10,1,1,0,49.1499773465146,PayPal,Desktop,0
20,Male,North America,Mobile,24,9,3,1,0,64.96609310012767,Credit Card,Desktop,0
30,Female,Europe,Desktop,5,8,3,2,0,59.053632370042976,PayPal,Mobile,1
31,Male,Europe,Mobile,8,10,2,1,0,47.02455976116798,Direct Debit,Tablet,1
26,Female,Asia,Desktop,19,10,2,3,0,53.85309495977661,PayPal,Desktop,0
33,Male,North America,Desktop,7,8,1,1,0,80.71413755850368,Direct Debit,Desktop,0
39,Male,Asia,Tablet,2,8,3,0,0,66.42267862520748,Direct Debit,Desktop,1
53,Female,Europe,Desktop,1,1,0,1,0,80.1841783220784,Credit Card,Desktop,0
36,Female,North America,Mobile,11,10,2,2,0,57.081184782969395,Direct Debit,Tablet,0
37,Male,Europe,Tablet,1,6,2,2,0,60.26001494937205,Direct Debit,Desktop,1
34,Male,Europe,Desktop,5,7,1,3,0,38.04798779643925,PayPal,Desktop,0
18,Male,Europe,Tablet,12,9,2,1,0,42.51538621213052,Direct Debit,Tablet,0
34,Female,Asia,Desktop,15,7,4,3,0,101.11800157451894,PayPal,Tablet,1
35,Male,North America,Mobile,1,5,5,0,1,10.0,Credit Card,Tablet,1
59,Female,Europe,Mobile,1,7,5,3,0,32.86971255640725,Credit Card,Desktop,1
33,Female,Europe,Mobile,13,6,2,5,0,71.77715302051834,Direct Debit,Tablet,0
38,Male,Asia,Mobile,4,6,1,3,0,15.452533586974972,Direct Debit,Desktop,1
34,Male,North America,Desktop,24,10,1,4,0,40.528008418150236,Credit Card,Tablet,0
23,Male,Europe,Desktop,15,8,3,5,0,81.23650917660919,Credit Card,Tablet,1
46,Male,Asia,Tablet,14,10,2,5,0,55.682267569193385,Direct Debit,Mobile,0
42,Female,Asia,Desktop,15,9,3,3,0,70.19405191836222,PayPal,Tablet,0
42,Female,North America,Mobile,17,7,3,2,0,97.78368178641475,PayPal,Desktop,1
25,Female,Europe,Mobile,22,10,3,3,0,74.93990258954575,PayPal,Mobile,1
49,Female,South America,Desktop,1,7,3,1,1,61.675989808857366,PayPal,Desktop,1
20,Male,Europe,Tablet,14,7,3,5,0,98.17911190062787,Direct Debit,Mobile,1
40,Male,South America,Mobile,6,9,0,4,0,39.463432630379636,Direct Debit,Desktop,0
56,Male,Europe,Tablet,1,5,1,4,1,46.30144500478467,PayPal,Desktop,1
25,Female,Asia,Desktop,5,5,1,4,0,64.96552938803532,Direct Debit,Mobile,0
29,Female,South America,Mobile,24,10,2,5,0,59.41661631396256,Direct Debit,Mobile,0
35,Female,North America,Mobile,23,8,3,1,0,77.35470468166406,Direct Debit,Tablet,0
29,Male,Europe,Desktop,12,10,2,1,0,73.33155189367474,PayPal,Mobile,0
19,Female,North America,Tablet,5,10,2,2,0,78.2618310752537,PayPal,Mobile,1
35,Male,Europe,Desktop,13,9,2,1,0,53.078205534446816,PayPal,Mobile,0
24,Female,South America,Mobile,13,10,1,2,0,79.88094742857494,Direct Debit,Tablet,0
39,Male,Europe,Desktop,10,6,3,4,0,68.40882710456084,Credit Card,Tablet,1
25,Male,North America,Desktop,9,10,2,5,0,37.87818812063331,Credit Card,Tablet,0
50,Male,Europe,Desktop,1,5,5,5,1,56.67590720426705,Credit Card,Desktop,1
27,Female,South America,Mobile,14,10,2,3,0,73.06813763993624,Direct Debit,Tablet,0
31,Female,North America,Mobile,12,9,6,0,0,62.90419967895146,PayPal,Mobile,1
43,Male,Asia,Mobile,14,9,1,3,0,66.62183097592279,Credit Card,Desktop,0
22,Female,Europe,Mobile,20,10,3,4,0,28.321430938906794,Direct Debit,Tablet,0
37,Female,Europe,Desktop,15,9,0,1,0,84.39013815772662,Direct Debit,Tablet,0
48,Female,Asia,Desktop,6,9,3,3,0,51.80745452561787,PayPal,Desktop,1
18,Female,Europe,Mobile,9,9,3,4,0,65.74210385471132,Direct Debit,Tablet,1
36,Male,Asia,Mobile,9,10,1,2,0,46.18978907825944,PayPal,Tablet,0
37,Female,Europe,Desktop,1,10,1,3,1,46.42020559439783,Direct Debit,Mobile,1
42,Male,North America,Mobile,5,8,1,3,0,51.56121101609452,Direct Debit,Mobile,1
22,Male,Asia,Tablet,9,8,1,1,0,26.576109465121405,PayPal,Mobile,0
21,Female,North America,Desktop,11,10,0,1,0,90.60869789947773,Credit Card,Mobile,0
40,Male,Europe,Mobile,2,10,3,2,1,59.038827820870665,PayPal,Mobile,0
37,Female,Asia,Desktop,10,8,4,0,0,105.96568732491232,PayPal,Desktop,0
37,Male,Europe,Mobile,4,7,4,1,0,58.44487355943312,Credit Card,Mobile,1
38,Male,Europe,Desktop,14,6,4,3,0,37.41120617704406,Credit Card,Mobile,1
28,Female,North America,Mobile,8,10,0,1,0,46.44357597243683,Direct Debit,Tablet,0
37,Female,South America,Desktop,4,8,2,2,0,79.07101368319826,PayPal,Tablet,1
37,Female,South America,Mobile,8,9,1,5,0,91.23767421399529,Credit Card,Desktop,1
27,Male,Europe,Mobile,24,10,1,2,0,61.79826381602814,Direct Debit,Mobile,0
53,Female,North America,Mobile,1,8,5,3,1,10.0,PayPal,Desktop,1
39,Male,Europe,Desktop,2,10,5,5,1,10.0,PayPal,Desktop,1
23,Male,Asia,Desktop,18,10,1,5,0,65.28118024487061,Direct Debit,Tablet,0
41,Male,Asia,Tablet,11,9,2,0,0,49.82949774701635,PayPal,Desktop,0
25,Female,Europe,Mobile,8,10,2,1,0,92.09768322167949,Credit Card,Desktop,0
42,Male,South America,Desktop,7,6,2,1,0,67.3791318847833,Credit Card,Desktop,0
46,Male,Asia,Mobile,17,10,5,5,0,41.597259019179226,Credit Card,Tablet,0
26,Female,Asia,Tablet,24,10,6,5,0,43.77595288480412,Credit Card,Desktop,0
44,Female,Asia,Mobile,7,8,2,4,0,64.55422195785421,PayPal,Desktop,0
39,Male,Asia,Desktop,7,8,1,5,0,71.07291508365876,PayPal,Tablet,0
43,Female,North America,Tablet,12,10,1,3,0,66.0849318372558,PayPal,Desktop,0
53,Male,North America,Mobile,6,3,3,3,0,84.19903432169342,Direct Debit,Mobile,1
32,Male,South America,Desktop,14,10,4,2,0,49.18414282384642,Direct Debit,Desktop,0
27,Male,South America,Desktop,7,8,0,1,0,67.3446963164429,Credit Card,Tablet,0
26,Male,Asia,Mobile,10,10,3,3,0,46.93282994795235,Direct Debit,Mobile,1
26,Male,South America,Desktop,18,10,1,1,0,42.48721293228601,PayPal,Tablet,0
34,Male,Asia,Mobile,24,10,1,3,0,57.89328727767646,Credit Card,Tablet,0
38,Male,Asia,Mobile,19,9,2,5,0,57.84902246908787,PayPal,Mobile,0
37,Female,Asia,Desktop,18,10,2,2,0,61.05081279116801,Credit Card,Desktop,0
43,Female,Europe,Tablet,1,7,3,2,1,81.85539338504984,Direct Debit,Tablet,1
35,Male,North America,Desktop,24,10,3,5,0,57.78557968950514,PayPal,Mobile,1
49,Male,North America,Desktop,24,7,3,3,0,52.11404761587935,PayPal,Desktop,1
32,Male,Europe,Tablet,8,9,2,0,0,50.39541071928576,PayPal,Tablet,0
62,Female,North America,Desktop,17,5,2,5,0,50.57367507261848,Direct Debit,Tablet,0
41,Female,Asia,Tablet,11,6,1,3,0,38.76378644229956,Credit Card,Mobile,1
26,Female,Asia,Desktop,10,10,2,5,0,72.30887839492978,Credit Card,Mobile,0
24,Male,Europe,Mobile,7,10,3,2,0,41.18706845155928,Credit Card,Desktop,1
39,Male,North America,Mobile,8,8,2,2,0,51.29579972520603,Credit Card,Desktop,0
32,Male,North America,Mobile,9,9,0,4,0,55.58274167733123,Credit Card,Tablet,0
42,Male,Europe,Desktop,1,5,5,0,1,77.47674657100988,Credit Card,Tablet,1
39,Female,Asia,Mobile,16,9,2,3,0,46.19432474489361,Direct Debit,Tablet,0
34,Female,North America,Mobile,24,10,0,2,0,36.50392399431049,PayPal,Desktop,0
26,Female,South America,Mobile,11,8,4,0,0,71.2511120886982,PayPal,Mobile,1
19,Female,Asia,Desktop,16,10,1,2,0,73.01367594104113,Credit Card,Tablet,0
30,Male,Asia,Mobile,19,10,3,4,0,22.375571812451938,Credit Card,Tablet,0
43,Female,Europe,Desktop,1,5,2,2,0,57.600268975579915,Direct Debit,Mobile,1
37,Female,Europe,Desktop,11,10,1,5,0,90.11448170326396,Direct Debit,Desktop,0
22,Male,Asia,Mobile,16,10,1,1,0,42.23083516767392,PayPal,Desktop,0
36,Female,Asia,Mobile,4,6,0,4,0,12.846985937982566,PayPal,Tablet,1
38,Female,South America,Mobile,18,10,2,4,0,47.252572237398475,Credit Card,Desktop,0
26,Male,North America,Mobile,18,10,2,5,0,81.4491171884596,PayPal,Desktop,0
36,Male,Asia,Mobile,1,8,4,3,1,56.25619676827142,Credit Card,Mobile,1
35,Male,South America,Mobile,9,7,4,0,0,30.3878904019504,Direct Debit,Tablet,1
23,Male,Asia,Mobile,11,9,2,1,0,44.1004116948151,PayPal,Tablet,0
38,Male,South America,Desktop,13,10,0,2,0,107.24225022663276,Direct Debit,Mobile,0
40,Female,Asia,Tablet,10,9,1,0,0,27.797595997967733,PayPal,Mobile,0
45,Female,North America,Mobile,4,3,4,5,0,14.099709776551869,Direct Debit,Mobile,1
45,Male,Asia,Desktop,3,10,2,3,1,72.7936786371524,PayPal,Mobile,1
21,Male,Asia,Desktop,12,10,2,2,0,50.271922990811476,Credit Card,Tablet,0
25,Female,Europe,Mobile,21,10,1,3,0,56.87679206605458,PayPal,Tablet,0
40,Male,North America,Desktop,24,10,2,3,0,53.171704444318664,PayPal,Mobile,0
40,Male,Asia,Desktop,17,10,0,1,0,81.93995248751719,Direct Debit,Desktop,0
40,Female,Asia,Mobile,5,10,4,3,0,97.95417250172565,PayPal,Tablet,1
73,Male,South America,Mobile,9,8,2,0,0,31.936340785455428,Credit Card,Mobile,0
40,Female,North America,Desktop,5,9,2,1,0,76.3237368478445,Direct Debit,Mobile,1
46,Male,South America,Mobile,1,9,3,1,1,75.03662537359398,PayPal,Mobile,0
44,Female,North America,Mobile,4,9,2,0,0,65.81881127016588,Direct Debit,Tablet,0
41,Female,South America,Mobile,1,7,1,1,1,51.72312977075575,Direct Debit,Tablet,0
31,Female,Europe,Desktop,20,9,2,3,0,45.18136195954612,Credit Card,Desktop,0
42,Female,Asia,Desktop,24,10,2,5,0,59.63697666362876,Direct Debit,Desktop,0
27,Male,Europe,Tablet,24,10,2,1,0,71.35314570945887,PayPal,Desktop,0
32,Male,South America,Desktop,24,10,1,1,0,58.55182112125864,PayPal,Tablet,0
30,Male,Europe,Mobile,6,9,1,0,0,74.26139234019934,Direct Debit,Mobile,0
35,Female,South America,Desktop,14,10,3,3,0,58.67624627128069,Direct Debit,Mobile,0
58,Female,Asia,Mobile,20,8,4,2,0,35.70571978082755,Credit Card,Tablet,1
18,Female,Europe,Mobile,10,10,5,4,0,52.044098787670656,Direct Debit,Desktop,1
41,Male,Europe,Mobile,1,10,1,3,1,21.33925125069422,PayPal,Desktop,1
18,Male,South America,Desktop,12,10,1,5,0,67.91637919090707,Direct Debit,Mobile,0
30,Male,North America,Mobile,10,10,3,3,0,61.468998789134446,Direct Debit,Mobile,0
45,Female,North America,Mobile,21,10,0,1,0,61.97306444537056,PayPal,Tablet,0
35,Male,South America,Mobile,3,4,4,5,1,46.55495189258779,Direct Debit,Desktop,1
24,Male,South America,Desktop,23,10,3,3,0,40.70404030060814,Credit Card,Desktop,1
27,Female,Asia,Desktop,12,10,2,5,0,71.46836396557558,Credit Card,Tablet,0
41,Male,Asia,Mobile,3,10,2,2,1,46.92308383497007,Direct Debit,Mobile,0
27,Male,Asia,Tablet,10,9,3,1,0,75.51024236986035,Credit Card,Desktop,1
37,Male,South America,Desktop,1,5,2,2,1,72.9029697864718,Credit Card,Desktop,0
35,Female,Europe,Desktop,20,8,5,2,0,91.28526260367177,PayPal,Tablet,1
28,Female,Europe,Mobile,6,10,0,2,0,71.07154692236695,PayPal,Desktop,0
56,Male,Europe,Tablet,20,10,2,5,0,85.61020148205944,PayPal,Mobile,0
41,Male,North America,Mobile,1,10,2,5,1,60.60643929561519,Direct Debit,Desktop,0
18,Female,North America,Desktop,5,8,3,4,0,81.13688119216759,PayPal,Mobile,1
36,Female,North America,Desktop,23,10,0,3,0,42.3257178552409,Direct Debit,Tablet,0
28,Male,South America,Desktop,14,10,2,5,0,57.509384788705034,Credit Card,Mobile,0
43,Female,Asia,Desktop,1,9,3,0,1,68.59727788027938,Direct Debit,Tablet,1
27,Female,Europe,Mobile,15,9,1,3,0,71.30570782400474,PayPal,Mobile,0
33,Female,Europe,Mobile,11,5,2,3,0,38.190002385470855,PayPal,Desktop,0
40,Female,South America,Desktop,10,8,1,0,0,41.2882844530975,PayPal,Mobile,1
43,Male,Asia,Desktop,14,7,2,1,0,47.610948136576766,Direct Debit,Tablet,0
22,Female,Europe,Tablet,17,10,1,3,0,71.57230972664578,PayPal,Desktop,0
31,Male,Europe,Mobile,24,10,4,1,0,60.89111854041852,PayPal,Desktop,0
30,Female,South America,Desktop,14,10,2,5,0,84.28033785117498,PayPal,Desktop,0
28,Female,Asia,Mobile,12,9,2,5,0,58.76641799597799,PayPal,Tablet,0
52,Female,Europe,Mobile,4,6,3,4,0,65.06081674197705,PayPal,Desktop,1
39,Male,North America,Mobile,2,7,2,0,0,48.392023418789286,Direct Debit,Tablet,1
22,Female,Europe,Mobile,17,10,0,4,0,70.8853696243633,PayPal,Desktop,0
44,Female,Europe,Tablet,9,9,3,3,0,59.54944128167028,Direct Debit,Tablet,1
56,Male,North America,Tablet,11,7,1,0,0,71.38313054571051,PayPal,Mobile,1
45,Male,South America,Desktop,24,10,2,4,0,49.028083657526636,PayPal,Mobile,0
19,Male,North America,Mobile,24,10,1,4,0,113.27803650073288,PayPal,Desktop,0
30,Female,South America,Desktop,9,8,0,5,0,36.16587856218008,Credit Card,Tablet,0
47,Male,Asia,Mobile,1,6,4,1,1,65.9706859545291,Credit Card,Tablet,1
27,Male,North America,Mobile,10,8,0,0,0,85.2836263742823,Direct Debit,Tablet,0
39,Male,Europe,Tablet,10,9,5,4,0,74.00443677405349,Credit Card,Desktop,0
42,Female,North America,Mobile,3,8,0,2,0,31.39535583348476,PayPal,Mobile,0
25,Male,South America,Desktop,9,10,3,5,0,48.28629561701446,Direct Debit,Desktop,0
34,Male,Europe,Tablet,23,10,1,5,0,55.23317911185303,Direct Debit,Mobile,0
18,Female,Europe,Desktop,20,10,2,4,0,42.75248827625358,Direct Debit,Desktop,0
24,Female,Asia,Desktop,19,10,2,5,0,47.368885787618005,PayPal,Desktop,0
32,Male,South America,Mobile,12,8,3,2,0,42.72217271508285,Direct Debit,Mobile,1
22,Male,Asia,Desktop,12,9,3,4,0,44.86587830918911,Direct Debit,Desktop,0
51,Female,Europe,Mobile,1,7,1,2,0,55.685011028809406,PayPal,Tablet,0
20,Female,South America,Desktop,13,10,3,3,0,70.94880014531468,Direct Debit,Tablet,1
30,Male,North America,Mobile,5,10,3,5,0,69.09999643822697,Credit Card,Tablet,1
36,Female,Europe,Desktop,9,10,4,4,0,59.69070988066477,PayPal,Desktop,1
49,Male,South America,Desktop,1,4,1,3,0,64.05986050696859,Direct Debit,Desktop,0
20,Female,Europe,Desktop,15,10,1,5,0,54.84710940205781,Credit Card,Tablet,0
46,Female,Asia,Desktop,2,7,1,0,1,65.40895504619462,PayPal,Mobile,1
35,Female,South America,Tablet,24,10,1,3,0,72.33912782591317,Credit Card,Tablet,0
25,Male,Asia,Desktop,19,10,2,2,0,78.4377009340918,PayPal,Desktop,0
39,Female,Asia,Tablet,7,7,3,5,0,74.21716412664713,Direct Debit,Mobile,1
36,Female,South America,Mobile,10,10,0,4,0,100.01249356717533,PayPal,Tablet,0
28,Female,South America,Desktop,12,6,3,2,0,37.818522105869306,Credit Card,Mobile,1
35,Male,South America,Mobile,4,7,3,1,0,71.35756298441584,Credit Card,Mobile,1
31,Male,Asia,Desktop,6,4,4,0,0,40.528883805752024,PayPal,Tablet,1
36,Female,South America,Mobile,17,10,2,3,0,56.721766053386546,Credit Card,Desktop,0
41,Female,South America,Desktop,6,6,2,1,0,45.50648399741984,PayPal,Mobile,0
50,Male,Asia,Mobile,22,10,1,5,0,85.12980133638058,PayPal,Mobile,0
22,Male,Europe,Desktop,21,10,5,2,0,69.24484581643539,Credit Card,Desktop,0
56,Male,Asia,Mobile,5,6,4,3,0,55.572410234461394,PayPal,Desktop,1
18,Male,South America,Mobile,19,10,3,2,0,53.22983913229678,Credit Card,Desktop,1
33,Male,Europe,Desktop,18,10,0,5,0,95.61757055895387,Direct Debit,Tablet,0
40,Male,Europe,Mobile,8,9,1,0,0,61.2324651380113,Credit Card,Tablet,0
37,Female,North America,Desktop,15,7,1,5,0,101.97662830185638,PayPal,Tablet,0
28,Male,Europe,Tablet,9,10,4,2,0,62.29058421107216,Direct Debit,Mobile,0
32,Female,South America,Desktop,11,10,0,5,0,80.27037796499839,Direct Debit,Tablet,0
30,Female,Europe,Mobile,5,6,3,5,0,64.05289136177268,Credit Card,Tablet,1
29,Male,Europe,Mobile,7,9,2,3,0,107.02566116493622,Credit Card,Desktop,0
43,Female,North America,Desktop,16,9,3,2,0,69.47152761249343,Direct Debit,Tablet,0
38,Female,Europe,Mobile,18,10,3,5,0,76.90774930375913,Direct Debit,Desktop,0
28,Male,North America,Mobile,24,10,2,5,0,72.88209838102135,Credit Card,Desktop,0
43,Male,Asia,Tablet,24,10,0,4,0,42.069900540937496,Direct Debit,Tablet,0
38,Male,South America,Mobile,24,10,0,3,0,70.72960956630288,Credit Card,Desktop,0
43,Female,Asia,Mobile,7,8,2,5,0,59.53493452830206,Credit Card,Tablet,0
41,Female,Asia,Desktop,24,10,2,2,0,71.37925644321656,PayPal,Desktop,0
26,Male,Asia,Tablet,15,9,3,2,0,51.37252125217465,Credit Card,Tablet,1
29,Male,South America,Mobile,6,9,2,2,0,37.40544716619008,Direct Debit,Tablet,0
42,Female,South America,Tablet,18,8,2,3,0,53.40150150100702,PayPal,Mobile,0
41,Male,Asia,Desktop,9,9,2,5,0,57.51244968007513,Direct Debit,Mobile,0
34,Male,Europe,Desktop,10,10,3,4,0,91.60090581730813,Credit Card,Tablet,1
36,Female,Asia,Mobile,16,7,1,2,0,20.711315845501375,PayPal,Mobile,0
47,Female,North America,Mobile,10,5,0,5,0,56.50906237673304,Credit Card,Mobile,0
29,Male,North America,Mobile,24,10,1,2,0,73.49100332916774,Credit Card,Desktop,0
40,Female,Europe,Desktop,12,10,1,3,0,67.81738996934715,Direct Debit,Tablet,0
32,Male,Asia,Desktop,21,10,1,3,0,95.30896939740315,PayPal,Desktop,0
32,Female,Asia,Desktop,10,9,1,4,0,72.03268149832587,Credit Card,Desktop,0
